userId,sessionId,eventTime,pageName,prevPage,sessionSuccess
user_0,u0s0,2025-01-07 23:38:58,start,entry,False
user_0,u0s0,2025-01-07 23:40:22,info,start,False
user_0,u0s0,2025-01-07 23:41:20,start,info,False
user_0,u0s0,2025-01-07 23:44:07,info,start,False
user_0,u0s0,2025-01-07 23:48:14,start,info,False
user_0,u0s0,2025-01-07 23:56:16,question,start,False
user_0,u0s0,2025-01-07 23:57:05,start,question,False
user_0,u0s0,2025-01-08 00:01:36,step1,start,False
user_0,u0s0,2025-01-08 00:04:01,exit,step1,False
user_0,u0s1,2025-01-24 20:15:32,start,entry,False
user_0,u0s1,2025-01-24 20:15:59,step1,start,False
user_0,u0s1,2025-01-24 20:20:11,help1,step1,False
user_0,u0s1,2025-01-24 20:22:36,step1,help1,False
user_0,u0s1,2025-01-24 20:30:02,help1,step1,False
user_0,u0s1,2025-01-24 20:34:26,step1,help1,False
user_0,u0s1,2025-01-24 20:37:50,step2,step1,False
user_0,u0s1,2025-01-24 20:43:58,help2,step2,False
user_0,u0s1,2025-01-24 20:53:51,step2,help2,False
user_0,u0s1,2025-01-24 20:56:48,checkout,step2,False
user_0,u0s1,2025-01-24 21:00:53,error,checkout,False
user_0,u0s1,2025-01-24 21:08:24,exit,error,False
user_0,u0s2,2025-01-26 01:50:45,start,entry,False
user_0,u0s2,2025-01-26 01:51:19,info,start,False
user_0,u0s2,2025-01-26 01:56:27,start,info,False
user_0,u0s2,2025-01-26 01:58:37,info,start,False
user_0,u0s2,2025-01-26 02:07:31,start,info,False
user_0,u0s2,2025-01-26 02:13:22,step1,start,False
user_0,u0s2,2025-01-26 02:14:56,step2,step1,False
user_0,u0s2,2025-01-26 02:21:16,step1,step2,False
user_0,u0s2,2025-01-26 02:33:53,info,step1,False
user_0,u0s2,2025-01-26 02:43:48,start,info,False
user_0,u0s2,2025-01-26 02:52:36,info,start,False
user_0,u0s2,2025-01-26 02:52:49,exit,info,False
user_0,u0s3,2025-02-03 13:06:27,start,entry,False
user_0,u0s3,2025-02-03 13:08:21,info,start,False
user_0,u0s3,2025-02-03 13:18:13,start,info,False
user_0,u0s3,2025-02-03 13:28:12,exit,start,False
user_100,u100s0,2025-01-02 14:38:41,start,entry,False
user_100,u100s0,2025-01-02 14:46:54,info,start,False
user_100,u100s0,2025-01-02 14:53:32,start,info,False
user_100,u100s0,2025-01-02 14:57:37,info,start,False
user_100,u100s0,2025-01-02 15:01:25,start,info,False
user_100,u100s0,2025-01-02 15:08:00,info,start,False
user_100,u100s0,2025-01-02 15:15:21,start,info,False
user_100,u100s0,2025-01-02 15:20:24,info,start,False
user_100,u100s0,2025-01-02 15:29:48,start,info,False
user_100,u100s0,2025-01-02 15:37:38,exit,start,False
user_100,u100s1,2025-01-03 22:19:44,start,entry,False
user_100,u100s1,2025-01-03 22:27:34,exit,start,False
user_102,u102s0,2025-01-28 15:16:12,start,entry,False
user_102,u102s0,2025-01-28 15:25:31,info,start,False
user_102,u102s0,2025-01-28 15:28:06,start,info,False
user_102,u102s0,2025-01-28 15:37:40,step1,start,False
user_102,u102s0,2025-01-28 15:39:56,start,step1,False
user_102,u102s0,2025-01-28 15:41:10,exit,start,False
user_104,u104s0,2025-01-14 02:53:49,start,entry,False
user_104,u104s0,2025-01-14 02:59:20,question,start,False
user_104,u104s0,2025-01-14 03:03:19,start,question,False
user_104,u104s0,2025-01-14 03:08:19,question,start,False
user_104,u104s0,2025-01-14 03:11:16,start,question,False
user_104,u104s0,2025-01-14 03:14:15,info,start,False
user_104,u104s0,2025-01-14 03:14:44,start,info,False
user_104,u104s0,2025-01-14 03:17:32,info,start,False
user_104,u104s0,2025-01-14 03:21:43,exit,info,False
user_105,u105s0,2025-01-29 00:13:36,start,entry,False
user_105,u105s0,2025-01-29 00:22:23,step1,start,False
user_105,u105s0,2025-01-29 00:27:18,exit,step1,False
user_105,u105s1,2025-01-30 15:59:05,start,entry,False
user_105,u105s1,2025-01-30 16:00:20,exit,start,False
user_105,u105s2,2025-02-03 10:27:25,start,entry,False
user_105,u105s2,2025-02-03 10:28:28,step1,start,False
user_105,u105s2,2025-02-03 10:32:27,start,step1,False
user_105,u105s2,2025-02-03 10:38:55,step1,start,False
user_105,u105s2,2025-02-03 10:44:31,step2,step1,False
user_105,u105s2,2025-02-03 10:49:59,step1,step2,False
user_105,u105s2,2025-02-03 10:50:43,step2,step1,False
user_105,u105s2,2025-02-03 10:58:27,help2,step2,False
user_105,u105s2,2025-02-03 11:03:28,exit,help2,False
user_106,u106s0,2025-01-28 09:55:53,start,entry,False
user_106,u106s0,2025-01-28 09:57:35,info,start,False
user_106,u106s0,2025-01-28 09:57:48,exit,info,False
user_106,u106s1,2025-01-30 11:44:21,start,entry,False
user_106,u106s1,2025-01-30 11:49:14,info,start,False
user_106,u106s1,2025-01-30 11:49:44,start,info,False
user_106,u106s1,2025-01-30 11:59:01,exit,start,False
user_107,u107s0,2025-01-20 06:19:01,start,entry,False
user_107,u107s0,2025-01-20 06:22:58,exit,start,False
user_107,u107s1,2025-01-25 23:14:06,start,entry,False
user_107,u107s1,2025-01-25 23:16:27,exit,start,False
user_107,u107s2,2025-01-29 02:25:40,start,entry,False
user_107,u107s2,2025-01-29 02:31:11,info,start,False
user_107,u107s2,2025-01-29 02:35:12,exit,info,False
user_108,u108s0,2025-01-22 15:15:38,start,entry,False
user_108,u108s0,2025-01-22 15:24:40,question,start,False
user_108,u108s0,2025-01-22 15:33:27,exit,question,False
user_108,u108s1,2025-01-24 23:00:35,start,entry,False
user_108,u108s1,2025-01-24 23:04:48,question,start,False
user_108,u108s1,2025-01-24 23:12:33,start,question,False
user_108,u108s1,2025-01-24 23:16:46,question,start,False
user_108,u108s1,2025-01-24 23:20:12,start,question,False
user_108,u108s1,2025-01-24 23:23:56,step1,start,False
user_108,u108s1,2025-01-24 23:26:04,step2,step1,False
user_108,u108s1,2025-01-24 23:30:27,help2,step2,False
user_108,u108s1,2025-01-24 23:34:23,step2,help2,False
user_108,u108s1,2025-01-24 23:40:26,exit,step2,False
user_108,u108s2,2025-01-30 01:57:36,start,entry,False
user_108,u108s2,2025-01-30 02:07:23,step1,start,False
user_108,u108s2,2025-01-30 02:13:59,step2,step1,False
user_108,u108s2,2025-01-30 02:14:51,help2,step2,False
user_108,u108s2,2025-01-30 02:15:59,step2,help2,False
user_108,u108s2,2025-01-30 02:18:43,help2,step2,False
user_108,u108s2,2025-01-30 02:24:06,exit,help2,False
user_109,u109s0,2025-01-10 22:57:39,start,entry,False
user_109,u109s0,2025-01-10 23:05:27,step1,start,False
user_109,u109s0,2025-01-10 23:17:19,step1,step1,False
user_109,u109s0,2025-01-10 23:26:59,exit,step1,False
user_109,u109s1,2025-01-18 20:29:57,start,entry,True
user_109,u109s1,2025-01-18 20:37:09,step1,start,True
user_109,u109s1,2025-01-18 20:40:37,step2,step1,True
user_109,u109s1,2025-01-18 20:45:40,help2,step2,True
user_109,u109s1,2025-01-18 20:50:12,step2,help2,True
user_109,u109s1,2025-01-18 20:53:31,checkout,step2,True
user_109,u109s1,2025-01-18 20:57:57,success,checkout,True
user_110,u110s0,2025-01-29 21:23:07,start,entry,False
user_110,u110s0,2025-01-29 21:23:58,step1,start,False
user_110,u110s0,2025-01-29 21:33:22,step2,step1,False
user_110,u110s0,2025-01-29 21:37:10,exit,step2,False
user_113,u113s0,2025-01-23 20:12:26,start,entry,False
user_113,u113s0,2025-01-23 20:12:50,step1,start,False
user_113,u113s0,2025-01-23 20:20:21,step2,step1,False
user_113,u113s0,2025-01-23 20:28:46,step1,step2,False
user_113,u113s0,2025-01-23 20:29:34,step2,step1,False
user_113,u113s0,2025-01-23 20:37:51,help2,step2,False
user_113,u113s0,2025-01-23 20:43:19,step2,help2,False
user_113,u113s0,2025-01-23 20:48:10,checkout,step2,False
user_113,u113s0,2025-01-23 20:52:51,error,checkout,False
user_113,u113s0,2025-01-23 21:01:38,exit,error,False
user_113,u113s1,2025-01-30 15:49:18,start,entry,False
user_113,u113s1,2025-01-30 15:53:00,exit,start,False
user_114,u114s0,2025-01-01 14:13:35,start,entry,False
user_114,u114s0,2025-01-01 14:21:22,exit,start,False
user_11,u11s0,2025-01-27 06:43:12,start,entry,False
user_11,u11s0,2025-01-27 06:46:54,exit,start,False
user_11,u11s1,2025-01-30 10:12:28,start,entry,False
user_11,u11s1,2025-01-30 10:17:20,info,start,False
user_11,u11s1,2025-01-30 10:22:32,exit,info,False
user_11,u11s2,2025-01-31 20:25:22,start,entry,False
user_11,u11s2,2025-01-31 20:30:35,exit,start,False
user_120,u120s0,2025-01-24 01:05:07,start,entry,False
user_120,u120s0,2025-01-24 01:08:30,exit,start,False
user_120,u120s1,2025-02-02 00:07:04,start,entry,False
user_120,u120s1,2025-02-02 00:11:24,step1,start,False
user_120,u120s1,2025-02-02 00:18:00,step2,step1,False
user_120,u120s1,2025-02-02 00:20:32,checkout,step2,False
user_120,u120s1,2025-02-02 00:29:41,error,checkout,False
user_120,u120s1,2025-02-02 00:29:42,exit,error,False
user_121,u121s0,2025-01-05 20:22:06,start,entry,False
user_121,u121s0,2025-01-05 20:32:01,step1,start,False
user_121,u121s0,2025-01-05 20:39:02,exit,step1,False
user_122,u122s0,2025-01-03 18:52:42,start,entry,False
user_122,u122s0,2025-01-03 18:56:56,exit,start,False
user_122,u122s1,2025-01-29 04:27:41,start,entry,False
user_122,u122s1,2025-01-29 04:30:03,info,start,False
user_122,u122s1,2025-01-29 04:33:44,exit,info,False
user_123,u123s0,2025-01-09 11:50:30,start,entry,False
user_123,u123s0,2025-01-09 11:51:43,exit,start,False
user_123,u123s1,2025-01-22 19:23:29,start,entry,False
user_123,u123s1,2025-01-22 19:24:22,exit,start,False
user_124,u124s0,2025-01-01 10:19:50,start,entry,False
user_124,u124s0,2025-01-01 10:21:29,step1,start,False
user_124,u124s0,2025-01-01 10:30:12,start,step1,False
user_124,u124s0,2025-01-01 10:38:58,step1,start,False
user_124,u124s0,2025-01-01 10:40:18,step2,step1,False
user_124,u124s0,2025-01-01 10:46:04,help2,step2,False
user_124,u124s0,2025-01-01 10:50:22,step2,help2,False
user_124,u124s0,2025-01-01 10:57:33,checkout,step2,False
user_124,u124s0,2025-01-01 11:06:55,error,checkout,False
user_124,u124s0,2025-01-01 11:15:31,checkout,error,False
user_124,u124s0,2025-01-01 11:21:32,exit,checkout,False
user_125,u125s0,2025-01-25 16:07:03,start,entry,False
user_125,u125s0,2025-01-25 16:12:02,exit,start,False
user_125,u125s1,2025-02-01 23:06:08,start,entry,False
user_125,u125s1,2025-02-01 23:14:51,info,start,False
user_125,u125s1,2025-02-01 23:20:03,start,info,False
user_125,u125s1,2025-02-01 23:23:17,info,start,False
user_125,u125s1,2025-02-01 23:29:22,start,info,False
user_125,u125s1,2025-02-01 23:38:09,step1,start,False
user_125,u125s1,2025-02-01 23:41:53,start,step1,False
user_125,u125s1,2025-02-01 23:44:05,question,start,False
